email,displayName,role,organization,image
abe_simpson@thesimpsons.com,Abe Simpson,user,The Simpsons,abe_simpson.png
agnes_skinner@thesimpsons.com,Agnes Skinner,user,The Simpsons,agnes_skinner.png
apu_nahasapeemapetilon@thesimpsons.com,Apu Nahasapeemapetilon,user,The Simpsons,apu_nahasapeemapetilon.png
artie_ziff@thesimpsons.com,Artie Ziff,user,The Simpsons,artie_ziff.png
barney_gumble@thesimpsons.com,Barney Gumble,user,The Simpsons,barney_gumble.png
bart_simpson@thesimpsons.com,Bart Simpson,user,The Simpsons,bart_simpson.png
bleeding_gums_murphy@thesimpsons.com,Bleeding gums Murphy,user,The Simpsons,bleeding_gums_murphy.png
bumblebee_man@thesimpsons.com,Bumblebee Man,user,The Simpsons,bumblebee_man.png
carl_carlson@thesimpsons.com,Carl Carlson,user,The Simpsons,carl_carlson.png
chief_wiggum@thesimpsons.com,Chief Wiggum,user,The Simpsons,chief_wiggum.png
cletus_spuckler@thesimpsons.com,Cletus Spuckler,user,The Simpsons,cletus_spuckler.png
comic_book_guy@thesimpsons.com,Comic book Guy,user,The Simpsons,comic_book_guy.png
dolph@thesimpsons.com, Dolph,user,The Simpsons,dolph.png
dr_julius_hibbert@thesimpsons.com,Dr julius Hibbert,user,The Simpsons,dr_julius_hibbert.png
drederick_tatum@thesimpsons.com,Drederick Tatum,user,The Simpsons,drederick_tatum.png
duffman@thesimpsons.com, Duffman,user,The Simpsons,duffman.png
edna_krabappel@thesimpsons.com,Edna Krabappel,user,The Simpsons,edna_krabappel.png
fallout_boy@thesimpsons.com,Fallout Boy,user,The Simpsons,fallout_boy.png
fat_tony@thesimpsons.com,Fat Tony,user,The Simpsons,fat_tony.png
groundskeeper_willie@thesimpsons.com,Groundskeeper Willie,user,The Simpsons,groundskeeper_willie.png
hank_scorpio@thesimpsons.com,Hank Scorpio,user,The Simpsons,hank_scorpio.png
hans_moleman@thesimpsons.com,Hans Moleman,user,The Simpsons,hans_moleman.png
herman_hermann@thesimpsons.com,Herman Hermann,user,The Simpsons,herman_hermann.png
homer_simpson@thesimpsons.com,Homer Simpson,user,The Simpsons,homer_simpson.png
itchy@thesimpsons.com, Itchy,user,The Simpsons,itchy.png
jacqueline_bouvier@thesimpsons.com,Jacqueline Bouvier,user,The Simpsons,jacqueline_bouvier.png
jasper_beardly@thesimpsons.com,Jasper Beardly,user,The Simpsons,jasper_beardly.png
jimbo_jones@thesimpsons.com,Jimbo Jones,user,The Simpsons,jimbo_jones.png
kearney@thesimpsons.com, Kearney,user,The Simpsons,kearney.png
kent_brockman@thesimpsons.com,Kent Brockman,user,The Simpsons,kent_brockman.png
krusty_the_clown@thesimpsons.com,Krusty the Clown,user,The Simpsons,krusty_the_clown.png
legs@thesimpsons.com, Legs,user,The Simpsons,legs.png
lenny_leonard@thesimpsons.com,Lenny Leonard,user,The Simpsons,lenny_leonard.png
ling_bouvier@thesimpsons.com,Ling Bouvier,user,The Simpsons,ling_bouvier.png
lisa_simpson@thesimpsons.com,Lisa Simpson,user,The Simpsons,lisa_simpson.png
louie@thesimpsons.com, Louie,user,The Simpsons,louie.png
lugash@thesimpsons.com, Lugash,user,The Simpsons,lugash.png
luigi@thesimpsons.com, Luigi,user,The Simpsons,luigi.png
maggie_simpson@thesimpsons.com,Maggie Simpson,user,The Simpsons,maggie_simpson.png
manjula_nahnahasapeemapetilon@thesimpsons.com,Manjula Nahnahasapeemapetilon,user,The Simpsons,manjula_nahnahasapeemapetilon.png
marge_simpson@thesimpsons.com,Marge Simpson,user,The Simpsons,marge_simpson.png
martin_prince@thesimpsons.com,Martin Prince,user,The Simpsons,martin_prince.png
matt_groening@thesimpsons.com,Matt Groening,user,The Simpsons,matt_groening.png
mayor_quimby@thesimpsons.com,Mayor Quimby,user,The Simpsons,mayor_quimby.png
milhouse_van_houten@thesimpsons.com,Milhouse van Houten,user,The Simpsons,milhouse_van_houten.png
miss_springfield@thesimpsons.com,Miss Springfield,user,The Simpsons,miss_springfield.png
moe_szyslak@thesimpsons.com,Moe Szyslak,user,The Simpsons,moe_szyslak.png
mr_burns@thesimpsons.com,Mr Burns,user,The Simpsons,mr_burns.png
mr_sparkle@thesimpsons.com,Mr Sparkle,user,The Simpsons,mr_sparkle.png
ned_flanders@thesimpsons.com,Ned Flanders,user,The Simpsons,ned_flanders.png
nelson_muntz@thesimpsons.com,Nelson Muntz,user,The Simpsons,nelson_muntz.png
old_jewish_man@thesimpsons.com,Old jewish Man,user,The Simpsons,old_jewish_man.png
otto_mann@thesimpsons.com,Otto Mann,user,The Simpsons,otto_mann.png
patty_bouvier@thesimpsons.com,Patty Bouvier,user,The Simpsons,patty_bouvier.png
professor_frink@thesimpsons.com,Professor Frink,user,The Simpsons,professor_frink.png
radioactive_man@thesimpsons.com,Radioactive Man,user,The Simpsons,radioactive_man.png
ralph_wiggum@thesimpsons.com,Ralph Wiggum,user,The Simpsons,ralph_wiggum.png
reverend_lovejoy@thesimpsons.com,Reverend Lovejoy,user,The Simpsons,reverend_lovejoy.png
rich_texan@thesimpsons.com,Rich Texan,user,The Simpsons,rich_texan.png
rod_flanders@thesimpsons.com,Rod Flanders,user,The Simpsons,rod_flanders.png
scratchy@thesimpsons.com, Scratchy,user,The Simpsons,scratchy.png
sea_captain@thesimpsons.com,Sea Captain,user,The Simpsons,sea_captain.png
selma_bouvier@thesimpsons.com,Selma Bouvier,user,The Simpsons,selma_bouvier.png
seymour_skinner@thesimpsons.com,Seymour Skinner,user,The Simpsons,seymour_skinner.png
shauna@thesimpsons.com, Shauna,user,The Simpsons,shauna.png
sideshow_bob@thesimpsons.com,Sideshow Bob,user,The Simpsons,sideshow_bob.png
sideshow_mel@thesimpsons.com,Sideshow Mel,user,The Simpsons,sideshow_mel.png
snake@thesimpsons.com, Snake,user,The Simpsons,snake.png
squeaky_voiced_teen@thesimpsons.com,Squeaky voiced Teen,user,The Simpsons,squeaky_voiced_teen.png
todd_flanders@thesimpsons.com,Todd Flanders,user,The Simpsons,todd_flanders.png
tom_oflanagan@thesimpsons.com,Tom Oflanagan,user,The Simpsons,tom_oflanagan.png
troy_mcclure@thesimpsons.com,Troy Mcclure,user,The Simpsons,troy_mcclure.png
waylon_smithers@thesimpsons.com,Waylon Smithers,user,The Simpsons,waylon_smithers.png
