last_name,first_name,image,cat_dog,StarWars_StarTrek,eye_color,novels_read,math_conference,professional_cat,intro_extrovert,teaching_subj,paper_writing,pizza_topping,earthquake_mag,magazine_read,birthday_month,email_client,movies_theater,gender,region_youth,region_current,am_beverage,siblings,living_scenario,community,fiction_type
simpson,abe,abe_simpson.png,Dog person,Star Trek,Gray,5-Mar,NCTM,Researcher,Introvert,Mathematics,Manual typewriter,Cheese,7-Jun,Better Homes and Gardens,March/April,Outlook,20+,Gender diverse,Outside the US,South,Juice,4 or more siblings,Apartment with self / family,Outer suburbs,Fantasy
skinner,agnes,agnes_skinner.png,Dog person,Star Wars,Green,10-Jun,ASA,Software developer,Ambivert (combines traits of both),Other/None,Pencil and paper,Cheese,4-Feb,The Economist,January/February,Outlook,20+,Male,West,Midwest,Soda,2 siblings,Shared living – house,Central city,Romance
nahasapeemapetilon,apu,apu_nahasapeemapetilon.png,Cat person,Star Wars,Gray,More than 10,ASA,Software developer,Introvert,Pre-service teaching,Electric typewriter,Pepperoni,7-Jun,Better Homes and Gardens,July/August,Gmail,4-Mar,Gender diverse,Outside the US,Outside the US,Any old coffee,2 siblings,House with self / family,Outer suburbs,Mystery
ziff,artie,artie_ziff.png,Cat person,Star Wars,Brown,5-Mar,ASA,Entrepreneur/Consultant,Ambivert (combines traits of both),Statistics,Pencil and paper,Cheese,6-May,People,November/December,Gmail,20+,Gender diverse,West,Outside the US,Good coffee,2 siblings,Shared living – apartment,Inner suburbs,Mystery
gumble,barney,barney_gumble.png,Cat person,Star Trek,Blue,5-Mar,SRTL,Researcher,Introvert,Pre-service teaching,Laser printer,Sausage,5-Apr,Game Informer,September/October,Gmail,0-2,Female,South,Outside the US,Tea,4 or more siblings,Shared living – apartment,Between suburbs and rural,Mystery
simpson,bart,bart_simpson.png,Dog person,Star Trek,Gray,5-Mar,SRTL,Student,Ambivert (combines traits of both),Other/None,Dot matrix printer,Cheese,7-Jun,Better Homes and Gardens,July/August,Gmail,20+,Gender diverse,Midwest,Northeast,Good coffee,2 siblings,Apartment with self / family,Central city,Fantasy
murphy,bleeding gums,bleeding_gums_murphy.png,Cat person,Star Wars,Gray,10-Jun,ICOTS,Entrepreneur/Consultant,Ambivert (combines traits of both),Mathematics,Electric typewriter,Pepperoni,4-Feb,People,November/December,Outlook,4-Mar,Female,West,West,Soda,3 siblings,Apartment with self / family,Inner suburbs,Fantasy
man,bumblebee,bumblebee_man.png,Dog person,Star Trek,Brown,5-Mar,ICOTS,Software developer,Extrovert,Other/None,Laser printer,Sausage,7-Jun,Game Informer,March/April,Elm/Pine,20+,Male,West,West,Any old coffee,3 siblings,Shared living – apartment,Inner suburbs,Mystery
carlson,carl,carl_carlson.png,Dog person,Star Wars,Gray,10-Jun,NCTM,Educator,Ambivert (combines traits of both),Statistics,Pencil and paper,Pepperoni,4-Feb,People,July/August,Outlook,10-May,Gender diverse,South,Northeast,Any old coffee,4 or more siblings,House with self / family,Inner suburbs,Science Fiction
wiggum,chief,chief_wiggum.png,Dog person,Star Trek,Brown,More than 10,SRTL,Entrepreneur/Consultant,Ambivert (combines traits of both),Science,Manual typewriter,Cheese,0-2,Better Homes and Gardens,January/February,Gmail,4-Mar,Female,Outside the US,Northeast,Good coffee,0 siblings,Apartment with self / family,Central city,Science Fiction
